incident_id,service_type,address,city,start_time,restoration_time,outage_duration_minutes,customers_affected,cause,weather_condition,crew_dispatched
207,Electric Grid,North Bay Boulevard,Navotas City,4/4/2022 22:49,3/20/2024 11:01,885,7388,Fallen Tree Branch,Clear,No
208,Electric Grid,Ermita District,City of Manila,11/3/2022 1:48,11/18/2026 4:21,584,559,Lightning,Heatwave,Yes
209,Water Pipeline,North Bay Boulevard,Navotas City,3/25/2023 8:24,8/25/2023 17:50,702,1069,Lightning,Heatwave,Yes
210,Electric Grid,North Bay Boulevard,Navotas City,3/1/2025 12:29,4/19/2025 21:39,330,7231,Equipment Age,High Wind,Yes
211,Water Pipeline,North Bay Boulevard,Navotas City,9/12/2026 4:15,3/31/2024 22:48,455,5126,Equipment Age,Heavy Rain,Yes
212,Water Pipeline,Ermita District,City of Manila,10/11/2024 12:18,11/15/2025 10:49,60,9036,Fallen Tree Branch,High Wind,Yes
213,Electric Grid,Ermita District,City of Manila,1/1/2023 16:42,12/26/2024 16:35,1264,1363,Equipment Age,High Wind,Yes
214,Water Pipeline,North Bay Boulevard,Navotas City,4/7/2022 5:11,6/11/2024 2:12,1093,7980,Equipment Age,High Wind,No
215,Electric Grid,North Bay Boulevard,Navotas City,8/16/2025 15:09,12/11/2024 2:25,1262,9424,Pipe Burst,Heatwave,No
216,Electric Grid,North Bay Boulevard,Navotas City,11/21/2022 0:00,3/26/2023 3:24,729,2808,Pipe Burst,Heavy Rain,No
217,Electric Grid,North Bay Boulevard,Navotas City,4/10/2024 7:48,10/23/2024 20:28,177,2482,Lightning,Clear,No
218,Water Pipeline,Ermita District,City of Manila,12/4/2023 19:35,5/18/2026 19:58,1099,1314,Pipe Burst,Clear,No
219,Water Pipeline,Ermita District,City of Manila,10/8/2026 18:26,5/8/2024 19:52,228,4541,Equipment Age,Heavy Rain,Yes
220,Water Pipeline,Ermita District,City of Manila,10/13/2024 1:00,7/1/2026 13:46,1048,8517,Equipment Age,High Wind,Yes
221,Water Pipeline,North Bay Boulevard,Navotas City,6/15/2026 22:51,3/3/2022 21:50,12,4263,Fallen Tree Branch,High Wind,No
222,Electric Grid,North Bay Boulevard,Navotas City,9/10/2025 21:28,9/29/2026 13:48,1175,3976,Pipe Burst,High Wind,No
223,Water Pipeline,Ermita District,City of Manila,2/25/2025 18:23,3/21/2022 5:37,128,9867,Pipe Burst,Clear,No
224,Water Pipeline,Ermita District,City of Manila,3/9/2024 20:34,8/8/2023 15:35,516,7269,Pipe Burst,Heatwave,No
225,Water Pipeline,Ermita District,City of Manila,4/29/2023 15:16,10/18/2024 4:21,321,721,Equipment Age,Heavy Rain,Yes
226,Water Pipeline,Ermita District,City of Manila,7/30/2022 11:06,8/12/2025 21:49,332,7367,Fallen Tree Branch,Heatwave,No
227,Electric Grid,North Bay Boulevard,Navotas City,12/31/2024 21:26,11/25/2025 9:49,1191,3598,Lightning,High Wind,No
228,Water Pipeline,North Bay Boulevard,Navotas City,12/12/2024 0:03,3/17/2024 20:11,634,7257,Equipment Age,Heavy Rain,No
229,Water Pipeline,Ermita District,City of Manila,6/7/2024 9:25,12/11/2023 7:12,1295,1174,Equipment Age,High Wind,No
230,Water Pipeline,Ermita District,City of Manila,9/29/2023 15:01,10/13/2025 16:08,1190,7701,Fallen Tree Branch,Heatwave,No
231,Water Pipeline,North Bay Boulevard,Navotas City,5/16/2025 4:28,4/14/2024 1:11,3,1012,Fallen Tree Branch,Heatwave,No
232,Water Pipeline,North Bay Boulevard,Navotas City,10/17/2025 11:22,4/30/2024 1:00,45,6888,Lightning,High Wind,No
233,Electric Grid,Ermita District,City of Manila,10/13/2025 17:11,8/8/2022 3:05,143,6838,Equipment Age,Heatwave,No
234,Electric Grid,Ermita District,City of Manila,2/17/2024 21:43,10/2/2022 18:59,549,9921,Lightning,Heavy Rain,No
235,Water Pipeline,Ermita District,City of Manila,1/15/2022 14:20,12/3/2022 16:08,207,1654,Fallen Tree Branch,High Wind,No
236,Water Pipeline,North Bay Boulevard,Navotas City,1/11/2025 2:27,12/6/2024 17:18,1290,7889,Equipment Age,Clear,No
237,Water Pipeline,Ermita District,City of Manila,7/1/2023 20:30,1/28/2022 1:40,1074,2282,Equipment Age,Heavy Rain,Yes
238,Water Pipeline,Ermita District,City of Manila,4/4/2026 11:51,12/28/2022 3:57,68,3689,Lightning,Clear,No
239,Electric Grid,Ermita District,City of Manila,6/29/2026 10:00,10/12/2022 1:58,1057,4386,Fallen Tree Branch,Clear,No
240,Water Pipeline,North Bay Boulevard,Navotas City,8/19/2022 1:15,12/2/2026 14:57,900,2090,Pipe Burst,Heavy Rain,No
241,Electric Grid,North Bay Boulevard,Navotas City,9/11/2023 12:38,10/18/2023 7:59,211,9006,Equipment Age,Clear,No
242,Water Pipeline,North Bay Boulevard,Navotas City,3/12/2025 2:54,12/26/2025 21:06,1364,5337,Equipment Age,Clear,No
243,Electric Grid,Ermita District,City of Manila,1/22/2024 1:03,12/27/2022 4:15,1213,4104,Fallen Tree Branch,Clear,No
244,Electric Grid,North Bay Boulevard,Navotas City,1/18/2025 21:44,5/8/2024 0:25,728,5630,Pipe Burst,Clear,Yes
245,Electric Grid,Ermita District,City of Manila,6/13/2026 3:13,9/30/2024 14:10,1333,4745,Lightning,Heavy Rain,Yes
246,Water Pipeline,Ermita District,City of Manila,10/9/2025 9:31,2/23/2023 3:54,840,4334,Lightning,High Wind,Yes
247,Water Pipeline,North Bay Boulevard,Navotas City,5/14/2022 8:28,11/28/2026 8:41,481,7983,Pipe Burst,Heavy Rain,No
248,Water Pipeline,Ermita District,City of Manila,6/24/2026 16:29,12/6/2025 11:47,1253,6858,Lightning,High Wind,No
249,Water Pipeline,North Bay Boulevard,Navotas City,4/26/2024 4:55,6/29/2024 17:00,823,1670,Lightning,Heatwave,No
250,Water Pipeline,North Bay Boulevard,Navotas City,7/30/2026 11:12,11/1/2022 11:43,1264,781,Pipe Burst,Heavy Rain,No
251,Water Pipeline,North Bay Boulevard,Navotas City,9/10/2024 3:00,12/14/2023 19:02,33,202,Lightning,Clear,Yes
252,Water Pipeline,Ermita District,City of Manila,10/30/2024 10:59,10/14/2025 20:54,397,1392,Fallen Tree Branch,Clear,No
253,Water Pipeline,North Bay Boulevard,Navotas City,5/13/2023 7:47,12/11/2026 19:22,872,9169,Fallen Tree Branch,Heatwave,Yes
254,Water Pipeline,Ermita District,City of Manila,2/23/2023 12:31,3/8/2023 6:44,599,7682,Lightning,Heavy Rain,No
255,Water Pipeline,Ermita District,City of Manila,5/21/2025 6:44,9/10/2026 14:07,573,8002,Fallen Tree Branch,High Wind,No
256,Water Pipeline,North Bay Boulevard,Navotas City,3/2/2024 0:46,12/9/2025 0:34,306,4579,Pipe Burst,Heavy Rain,No
257,Water Pipeline,North Bay Boulevard,Navotas City,1/11/2026 0:38,12/18/2024 16:45,1247,9572,Fallen Tree Branch,Clear,Yes
258,Electric Grid,North Bay Boulevard,Navotas City,1/24/2023 14:58,4/5/2026 10:44,1081,9660,Lightning,Clear,Yes
259,Water Pipeline,Ermita District,City of Manila,12/31/2025 21:40,4/12/2024 5:23,987,8173,Fallen Tree Branch,Heatwave,No
260,Electric Grid,Ermita District,City of Manila,5/11/2023 11:24,9/16/2024 23:33,176,2182,Fallen Tree Branch,Heatwave,Yes
261,Electric Grid,North Bay Boulevard,Navotas City,5/16/2024 7:37,7/25/2022 12:22,1191,4574,Equipment Age,Heatwave,Yes
262,Electric Grid,Ermita District,City of Manila,4/1/2022 20:51,6/12/2026 5:30,935,4083,Equipment Age,High Wind,Yes
263,Electric Grid,North Bay Boulevard,Navotas City,6/29/2026 12:53,6/12/2024 9:00,1021,1870,Fallen Tree Branch,Heatwave,No
264,Water Pipeline,North Bay Boulevard,Navotas City,11/25/2022 14:08,1/27/2025 10:13,222,8622,Pipe Burst,High Wind,No
265,Water Pipeline,North Bay Boulevard,Navotas City,12/4/2022 10:02,3/15/2025 2:13,179,9209,Equipment Age,Clear,Yes
266,Electric Grid,North Bay Boulevard,Navotas City,12/12/2022 4:37,1/10/2023 7:14,1221,1122,Equipment Age,Clear,No
267,Water Pipeline,North Bay Boulevard,Navotas City,8/30/2024 10:08,8/17/2025 19:05,396,7012,Lightning,Heatwave,No
268,Electric Grid,Ermita District,City of Manila,5/23/2023 15:49,8/26/2023 9:19,1267,4448,Pipe Burst,Clear,Yes
269,Water Pipeline,North Bay Boulevard,Navotas City,11/12/2025 12:55,6/26/2025 0:02,859,9440,Fallen Tree Branch,Clear,No
270,Electric Grid,North Bay Boulevard,Navotas City,9/3/2022 0:26,4/28/2023 17:11,142,7999,Lightning,Heavy Rain,No
271,Electric Grid,North Bay Boulevard,Navotas City,2/20/2022 4:11,4/19/2025 4:16,911,5557,Equipment Age,Heavy Rain,Yes
272,Water Pipeline,North Bay Boulevard,Navotas City,10/5/2022 16:00,3/4/2025 20:27,348,7593,Lightning,Heatwave,Yes
273,Electric Grid,Ermita District,City of Manila,6/4/2022 13:18,10/31/2026 19:41,387,5658,Pipe Burst,Clear,Yes
274,Electric Grid,Ermita District,City of Manila,9/22/2022 13:35,7/8/2025 3:49,1194,4694,Equipment Age,Heatwave,Yes
275,Water Pipeline,Ermita District,City of Manila,7/16/2024 14:06,7/5/2026 17:41,1230,3808,Equipment Age,High Wind,No
276,Electric Grid,Ermita District,City of Manila,5/10/2024 17:50,3/29/2025 21:57,542,2106,Equipment Age,Clear,No
277,Electric Grid,North Bay Boulevard,Navotas City,5/28/2025 12:29,6/11/2023 4:31,240,3077,Fallen Tree Branch,Heatwave,Yes
278,Water Pipeline,North Bay Boulevard,Navotas City,11/1/2024 18:16,4/1/2024 21:28,582,7888,Equipment Age,Heavy Rain,Yes
279,Water Pipeline,North Bay Boulevard,Navotas City,6/20/2026 10:34,9/17/2022 7:53,815,1948,Pipe Burst,Clear,Yes
280,Water Pipeline,Ermita District,City of Manila,6/28/2025 8:18,1/20/2026 9:39,148,3629,Pipe Burst,Clear,No
281,Electric Grid,North Bay Boulevard,Navotas City,3/26/2023 20:35,3/25/2022 6:48,1316,4953,Fallen Tree Branch,Heavy Rain,No
282,Electric Grid,North Bay Boulevard,Navotas City,9/27/2025 9:29,5/5/2022 14:25,734,8195,Fallen Tree Branch,Heavy Rain,Yes
283,Water Pipeline,North Bay Boulevard,Navotas City,5/9/2025 20:38,3/22/2022 1:13,627,1224,Fallen Tree Branch,Heavy Rain,Yes
284,Water Pipeline,Ermita District,City of Manila,1/29/2024 12:28,12/1/2022 23:51,135,4230,Lightning,Clear,Yes
285,Water Pipeline,Ermita District,City of Manila,7/2/2026 6:43,2/28/2022 15:24,402,2232,Lightning,Heavy Rain,Yes
286,Electric Grid,North Bay Boulevard,Navotas City,6/23/2022 12:59,6/22/2022 18:01,1217,5356,Fallen Tree Branch,Heatwave,Yes
287,Water Pipeline,Ermita District,City of Manila,5/15/2024 15:58,10/4/2022 8:57,812,5128,Pipe Burst,Heatwave,Yes
288,Water Pipeline,Ermita District,City of Manila,1/13/2026 19:03,11/27/2022 10:32,272,3128,Pipe Burst,High Wind,No
289,Water Pipeline,North Bay Boulevard,Navotas City,3/6/2026 6:07,5/17/2023 9:48,101,3798,Lightning,Heavy Rain,No
290,Water Pipeline,Ermita District,City of Manila,9/25/2024 18:59,10/8/2023 2:17,199,5327,Equipment Age,Heatwave,Yes
291,Water Pipeline,North Bay Boulevard,Navotas City,5/26/2025 5:52,12/22/2024 14:28,207,8138,Lightning,Heavy Rain,Yes
292,Electric Grid,North Bay Boulevard,Navotas City,3/16/2026 20:17,12/20/2022 19:46,570,8597,Equipment Age,Heavy Rain,Yes
293,Electric Grid,Ermita District,City of Manila,11/5/2025 20:45,11/3/2025 3:34,745,2588,Pipe Burst,Clear,No
294,Water Pipeline,North Bay Boulevard,Navotas City,6/30/2022 0:34,8/3/2026 16:26,613,5697,Lightning,High Wind,No
295,Water Pipeline,Ermita District,City of Manila,10/23/2023 14:31,6/11/2023 8:20,1118,8426,Fallen Tree Branch,Heavy Rain,No
296,Electric Grid,Ermita District,City of Manila,11/20/2025 21:16,5/5/2022 3:53,1015,4146,Fallen Tree Branch,Heavy Rain,Yes
297,Electric Grid,North Bay Boulevard,Navotas City,4/8/2023 4:30,5/22/2024 11:14,160,3741,Pipe Burst,Heavy Rain,Yes
298,Electric Grid,Ermita District,City of Manila,12/12/2024 7:58,3/21/2024 18:59,528,1188,Fallen Tree Branch,High Wind,No
299,Electric Grid,Ermita District,City of Manila,4/10/2024 7:30,10/29/2023 17:45,1181,4868,Pipe Burst,Clear,Yes
300,Electric Grid,Ermita District,City of Manila,1/4/2023 5:58,9/2/2024 8:38,714,2724,Fallen Tree Branch,Clear,No
301,Electric Grid,Ermita District,City of Manila,12/1/2023 17:32,10/12/2026 1:11,1156,6996,Equipment Age,Heavy Rain,No
302,Electric Grid,Ermita District,City of Manila,3/21/2023 18:41,4/3/2025 15:09,1061,2474,Pipe Burst,High Wind,Yes
303,Electric Grid,Ermita District,City of Manila,4/17/2023 16:34,11/10/2024 6:03,426,9154,Lightning,Heavy Rain,Yes
304,Water Pipeline,North Bay Boulevard,Navotas City,1/26/2024 6:03,12/18/2022 7:04,1038,3615,Pipe Burst,Heatwave,No
305,Water Pipeline,North Bay Boulevard,Navotas City,2/5/2026 15:38,7/8/2022 11:47,1049,6282,Fallen Tree Branch,Heavy Rain,Yes
306,Electric Grid,Ermita District,City of Manila,11/2/2022 20:40,12/2/2022 20:56,570,6544,Equipment Age,Heatwave,No
307,Electric Grid,North Bay Boulevard,Navotas City,4/24/2022 22:17,7/8/2023 16:06,1191,8506,Pipe Burst,High Wind,Yes
308,Electric Grid,Ermita District,City of Manila,4/28/2026 13:30,3/16/2024 6:47,519,67,Lightning,Clear,No
309,Water Pipeline,Ermita District,City of Manila,1/12/2025 11:19,2/21/2022 13:49,822,4917,Equipment Age,High Wind,Yes
310,Water Pipeline,North Bay Boulevard,Navotas City,9/28/2025 5:36,9/20/2022 0:33,1110,4452,Lightning,Clear,Yes
311,Water Pipeline,North Bay Boulevard,Navotas City,1/3/2024 5:58,12/16/2025 7:33,1333,8006,Equipment Age,Clear,Yes
312,Water Pipeline,Ermita District,City of Manila,7/26/2025 17:13,11/9/2024 14:59,294,6840,Lightning,High Wind,No
313,Electric Grid,North Bay Boulevard,Navotas City,7/13/2026 0:27,3/1/2022 5:03,660,7916,Lightning,Heatwave,No
314,Water Pipeline,North Bay Boulevard,Navotas City,12/7/2026 0:19,3/14/2026 21:47,874,7639,Lightning,Clear,Yes
315,Water Pipeline,North Bay Boulevard,Navotas City,7/3/2022 10:46,10/23/2022 14:00,1412,5000,Fallen Tree Branch,Clear,Yes
316,Electric Grid,Ermita District,City of Manila,3/25/2023 19:34,7/15/2025 23:14,711,7362,Fallen Tree Branch,Clear,No
317,Water Pipeline,North Bay Boulevard,Navotas City,7/7/2025 6:23,3/1/2025 14:39,656,1581,Fallen Tree Branch,High Wind,No
318,Electric Grid,North Bay Boulevard,Navotas City,6/26/2023 19:08,6/23/2022 14:57,531,2119,Lightning,High Wind,No
319,Water Pipeline,Ermita District,City of Manila,5/26/2023 10:54,9/9/2026 22:31,793,8932,Lightning,Heatwave,No
320,Water Pipeline,Ermita District,City of Manila,5/26/2024 13:18,12/11/2022 2:21,679,3773,Lightning,Clear,No
321,Electric Grid,Ermita District,City of Manila,12/4/2022 12:25,3/15/2022 2:32,506,4447,Fallen Tree Branch,Clear,Yes
322,Water Pipeline,North Bay Boulevard,Navotas City,9/28/2025 13:15,12/5/2025 13:17,173,6091,Equipment Age,Heavy Rain,Yes
323,Electric Grid,North Bay Boulevard,Navotas City,10/7/2022 19:14,5/7/2024 10:21,1388,3798,Equipment Age,Heavy Rain,Yes
324,Water Pipeline,North Bay Boulevard,Navotas City,2/9/2024 6:56,7/6/2023 5:53,1226,3487,Lightning,Heatwave,No
325,Electric Grid,North Bay Boulevard,Navotas City,11/21/2024 21:14,7/15/2022 20:04,1272,8719,Lightning,Clear,Yes
326,Water Pipeline,Ermita District,City of Manila,7/23/2026 12:08,12/27/2026 1:36,1097,2540,Equipment Age,High Wind,Yes
327,Water Pipeline,North Bay Boulevard,Navotas City,12/15/2024 8:59,2/25/2023 2:56,257,5297,Equipment Age,High Wind,Yes
328,Water Pipeline,North Bay Boulevard,Navotas City,3/8/2024 6:22,1/27/2023 13:12,1217,1576,Lightning,Clear,Yes
329,Water Pipeline,Ermita District,City of Manila,7/20/2026 7:04,8/11/2024 3:48,422,8657,Fallen Tree Branch,Heavy Rain,Yes
330,Water Pipeline,Ermita District,City of Manila,12/2/2023 5:00,11/17/2022 6:28,811,1210,Pipe Burst,Clear,No
331,Electric Grid,North Bay Boulevard,Navotas City,5/27/2023 10:03,3/20/2026 22:16,477,2080,Equipment Age,Heavy Rain,No
332,Water Pipeline,Ermita District,City of Manila,3/20/2023 7:42,2/14/2025 4:14,909,8492,Equipment Age,Heatwave,Yes
333,Water Pipeline,North Bay Boulevard,Navotas City,10/9/2023 1:45,7/23/2023 4:58,826,337,Lightning,Heavy Rain,Yes
334,Electric Grid,North Bay Boulevard,Navotas City,8/11/2024 20:07,8/21/2026 7:07,623,4128,Equipment Age,Clear,No
335,Electric Grid,North Bay Boulevard,Navotas City,3/8/2022 1:02,12/18/2025 20:15,863,5761,Lightning,Heavy Rain,No
336,Water Pipeline,Ermita District,City of Manila,11/24/2025 23:38,5/13/2026 16:20,1195,4399,Fallen Tree Branch,Clear,Yes
337,Electric Grid,North Bay Boulevard,Navotas City,11/26/2025 15:54,7/19/2024 19:08,20,3625,Fallen Tree Branch,Clear,Yes
338,Water Pipeline,North Bay Boulevard,Navotas City,12/15/2026 3:15,1/3/2026 13:57,712,1611,Pipe Burst,Heavy Rain,Yes
339,Electric Grid,Ermita District,City of Manila,11/3/2025 10:49,8/19/2024 5:51,1297,7282,Fallen Tree Branch,Heavy Rain,Yes
340,Water Pipeline,North Bay Boulevard,Navotas City,2/17/2026 9:37,7/14/2025 13:46,363,4092,Equipment Age,High Wind,No
341,Water Pipeline,North Bay Boulevard,Navotas City,4/28/2025 14:01,10/25/2025 6:13,427,2038,Equipment Age,High Wind,Yes
342,Electric Grid,North Bay Boulevard,Navotas City,1/20/2024 13:43,6/19/2023 22:33,441,8914,Pipe Burst,Heavy Rain,Yes
343,Water Pipeline,Ermita District,City of Manila,10/3/2024 21:47,1/30/2023 6:20,1344,410,Lightning,Clear,Yes
344,Water Pipeline,Ermita District,City of Manila,2/17/2023 11:10,9/17/2024 21:14,533,5597,Fallen Tree Branch,Clear,Yes
345,Electric Grid,North Bay Boulevard,Navotas City,8/12/2022 17:57,10/1/2023 9:32,222,7790,Lightning,Clear,Yes
346,Electric Grid,North Bay Boulevard,Navotas City,3/29/2023 1:50,2/21/2025 12:04,1404,806,Equipment Age,High Wind,No
347,Water Pipeline,North Bay Boulevard,Navotas City,7/29/2024 18:25,6/29/2022 18:30,1031,7039,Fallen Tree Branch,Heavy Rain,No
348,Electric Grid,Ermita District,City of Manila,1/17/2026 10:54,9/11/2025 15:56,1263,6934,Fallen Tree Branch,Heavy Rain,No
349,Electric Grid,Ermita District,City of Manila,4/9/2024 6:30,3/12/2023 5:56,563,3857,Lightning,Heavy Rain,No
350,Water Pipeline,North Bay Boulevard,Navotas City,11/20/2023 8:11,10/27/2023 15:20,1061,5561,Lightning,Clear,No
351,Electric Grid,North Bay Boulevard,Navotas City,2/1/2023 11:42,8/15/2025 12:11,716,516,Lightning,Clear,No
352,Water Pipeline,North Bay Boulevard,Navotas City,12/29/2026 4:14,4/3/2024 10:31,121,3258,Pipe Burst,Heavy Rain,No
353,Water Pipeline,Ermita District,City of Manila,9/3/2024 10:24,10/10/2026 11:11,1156,3318,Equipment Age,Heavy Rain,Yes
354,Electric Grid,North Bay Boulevard,Navotas City,7/9/2025 7:50,6/13/2024 2:45,780,7603,Lightning,Heavy Rain,No
355,Water Pipeline,North Bay Boulevard,Navotas City,4/21/2025 16:56,1/5/2022 6:08,792,6308,Pipe Burst,Heavy Rain,Yes
356,Electric Grid,North Bay Boulevard,Navotas City,6/11/2022 10:10,8/29/2022 5:24,139,879,Fallen Tree Branch,Heavy Rain,No
357,Electric Grid,North Bay Boulevard,Navotas City,1/10/2025 21:48,11/15/2026 16:00,504,2872,Lightning,High Wind,Yes
358,Electric Grid,Ermita District,City of Manila,11/21/2025 22:17,5/15/2024 15:40,1151,7847,Equipment Age,Heavy Rain,No
359,Electric Grid,North Bay Boulevard,Navotas City,3/20/2023 21:45,8/8/2024 21:28,967,6174,Pipe Burst,Heatwave,Yes
360,Electric Grid,Ermita District,City of Manila,7/12/2023 16:56,2/13/2026 16:24,272,5841,Lightning,Clear,No
361,Electric Grid,Ermita District,City of Manila,8/12/2026 23:19,5/12/2023 21:09,169,7286,Pipe Burst,Heatwave,Yes
362,Water Pipeline,North Bay Boulevard,Navotas City,3/5/2022 23:19,4/7/2026 10:59,212,5164,Equipment Age,Clear,Yes
363,Water Pipeline,Ermita District,City of Manila,7/9/2025 6:38,5/1/2024 13:53,991,1553,Fallen Tree Branch,Clear,No
364,Water Pipeline,Ermita District,City of Manila,4/17/2025 21:02,4/30/2023 22:58,1261,6481,Lightning,Heatwave,No
365,Water Pipeline,North Bay Boulevard,Navotas City,4/27/2024 0:54,11/23/2026 12:41,286,5434,Equipment Age,Clear,No
366,Water Pipeline,North Bay Boulevard,Navotas City,1/5/2022 11:01,9/16/2022 6:57,928,5309,Fallen Tree Branch,Heatwave,Yes
367,Electric Grid,Ermita District,City of Manila,2/10/2025 4:30,7/17/2022 11:12,1068,9751,Equipment Age,Heatwave,No
368,Water Pipeline,North Bay Boulevard,Navotas City,3/7/2025 19:21,8/26/2025 10:41,1284,5655,Pipe Burst,Clear,Yes
369,Electric Grid,North Bay Boulevard,Navotas City,12/27/2024 13:52,1/23/2023 16:14,832,1710,Fallen Tree Branch,Heavy Rain,Yes
370,Water Pipeline,Ermita District,City of Manila,5/28/2026 13:22,3/2/2026 18:50,227,4083,Lightning,Clear,No
371,Electric Grid,North Bay Boulevard,Navotas City,3/20/2026 1:33,2/28/2025 11:12,234,619,Lightning,Clear,No
372,Electric Grid,Ermita District,City of Manila,12/28/2025 3:28,1/12/2024 20:15,35,2909,Fallen Tree Branch,Clear,No
373,Water Pipeline,North Bay Boulevard,Navotas City,11/27/2024 5:20,6/27/2023 21:40,73,9072,Lightning,Heatwave,Yes
374,Water Pipeline,North Bay Boulevard,Navotas City,3/20/2026 23:43,9/22/2025 19:43,1291,2942,Lightning,Heavy Rain,No
375,Electric Grid,North Bay Boulevard,Navotas City,12/21/2022 2:55,4/10/2024 0:28,995,8016,Fallen Tree Branch,Heatwave,Yes
376,Water Pipeline,Ermita District,City of Manila,3/8/2026 12:34,11/22/2026 9:55,1224,7972,Lightning,High Wind,No
377,Water Pipeline,Ermita District,City of Manila,11/7/2023 22:09,5/19/2023 16:03,917,2241,Equipment Age,Clear,Yes
378,Electric Grid,North Bay Boulevard,Navotas City,2/22/2025 4:49,2/10/2024 2:11,1029,8223,Lightning,Heavy Rain,No
379,Electric Grid,North Bay Boulevard,Navotas City,4/19/2026 13:56,8/2/2024 9:20,1406,453,Equipment Age,Heatwave,Yes
380,Electric Grid,Ermita District,City of Manila,2/12/2026 9:51,8/9/2026 13:41,68,379,Pipe Burst,High Wind,Yes
381,Water Pipeline,North Bay Boulevard,Navotas City,11/3/2022 19:15,4/25/2022 5:14,1015,6952,Equipment Age,Clear,Yes
382,Electric Grid,North Bay Boulevard,Navotas City,9/21/2026 20:32,9/13/2022 0:52,729,763,Lightning,Heatwave,No
383,Water Pipeline,Ermita District,City of Manila,4/3/2023 17:42,11/25/2022 14:57,396,7401,Lightning,Heatwave,No
384,Water Pipeline,North Bay Boulevard,Navotas City,10/31/2022 21:58,10/20/2025 2:13,493,4986,Pipe Burst,High Wind,No
385,Electric Grid,Ermita District,City of Manila,11/25/2022 19:03,6/9/2025 20:41,228,4541,Lightning,Clear,Yes
386,Electric Grid,Ermita District,City of Manila,1/20/2025 15:37,10/13/2026 21:54,243,2144,Lightning,Clear,No
387,Water Pipeline,North Bay Boulevard,Navotas City,1/3/2023 5:38,9/22/2024 2:29,257,9948,Fallen Tree Branch,Heatwave,Yes
388,Water Pipeline,North Bay Boulevard,Navotas City,1/14/2026 23:58,10/6/2026 10:43,304,1168,Equipment Age,Heatwave,No
389,Water Pipeline,North Bay Boulevard,Navotas City,7/5/2025 11:49,4/18/2025 5:50,1374,7685,Lightning,Clear,Yes
390,Water Pipeline,North Bay Boulevard,Navotas City,4/20/2024 4:14,1/1/2023 12:45,998,268,Equipment Age,Heatwave,Yes
391,Electric Grid,North Bay Boulevard,Navotas City,9/13/2026 0:52,5/3/2025 3:26,748,2587,Equipment Age,High Wind,No
392,Electric Grid,North Bay Boulevard,Navotas City,6/19/2022 14:58,9/19/2026 3:42,1341,1203,Lightning,Heavy Rain,Yes
393,Electric Grid,Ermita District,City of Manila,5/16/2023 4:30,10/12/2025 15:54,1380,8626,Fallen Tree Branch,High Wind,Yes
394,Water Pipeline,Ermita District,City of Manila,10/16/2022 8:55,1/16/2023 13:17,208,4621,Pipe Burst,Heavy Rain,No
395,Water Pipeline,North Bay Boulevard,Navotas City,4/23/2026 20:43,2/8/2024 13:43,850,9402,Fallen Tree Branch,Clear,Yes
396,Electric Grid,North Bay Boulevard,Navotas City,1/19/2025 13:16,2/12/2025 7:39,854,5816,Pipe Burst,High Wind,No
397,Water Pipeline,Ermita District,City of Manila,12/10/2025 3:24,2/25/2025 7:30,778,1544,Fallen Tree Branch,Heatwave,No
398,Water Pipeline,North Bay Boulevard,Navotas City,3/25/2023 18:35,3/5/2023 17:52,878,4850,Equipment Age,Clear,Yes
399,Water Pipeline,North Bay Boulevard,Navotas City,4/15/2025 17:49,10/31/2026 7:44,1342,9443,Pipe Burst,Clear,Yes
400,Water Pipeline,North Bay Boulevard,Navotas City,9/29/2023 21:11,7/22/2024 11:02,68,8978,Fallen Tree Branch,Heatwave,Yes
401,Water Pipeline,Ermita District,City of Manila,3/20/2026 12:44,5/3/2022 7:40,605,8339,Lightning,Heavy Rain,No
402,Water Pipeline,Ermita District,City of Manila,6/26/2026 14:18,12/1/2022 2:20,101,1891,Pipe Burst,Heatwave,No
403,Water Pipeline,Ermita District,City of Manila,12/19/2023 21:32,1/22/2025 10:39,106,5532,Fallen Tree Branch,Heavy Rain,Yes
404,Electric Grid,North Bay Boulevard,Navotas City,12/19/2023 22:42,11/11/2023 14:56,990,6645,Lightning,Clear,Yes
405,Electric Grid,Ermita District,City of Manila,1/19/2024 15:07,8/8/2024 19:52,311,2043,Equipment Age,High Wind,No
406,Electric Grid,Ermita District,City of Manila,5/1/2022 6:13,4/11/2022 2:03,149,1736,Lightning,Clear,Yes
407,Water Pipeline,Ermita District,City of Manila,3/22/2022 5:10,9/5/2026 23:51,309,4087,Fallen Tree Branch,High Wind,Yes
408,Water Pipeline,North Bay Boulevard,Navotas City,12/7/2025 3:03,2/15/2025 20:14,58,5142,Fallen Tree Branch,Clear,Yes
409,Water Pipeline,Ermita District,City of Manila,10/31/2026 3:33,12/24/2023 22:24,841,1495,Equipment Age,Heavy Rain,No
410,Electric Grid,North Bay Boulevard,Navotas City,12/4/2022 3:24,11/2/2026 0:11,927,5478,Fallen Tree Branch,High Wind,Yes
411,Water Pipeline,North Bay Boulevard,Navotas City,9/20/2023 4:48,9/16/2022 22:32,860,8127,Fallen Tree Branch,Heavy Rain,No
412,Electric Grid,North Bay Boulevard,Navotas City,5/25/2024 7:31,5/19/2023 10:19,873,1874,Fallen Tree Branch,Clear,No
